id_compra,sello,codigo_pasta,cantidad_kg,precio_unitario
1,FR-001,P026,1.165,3671.15
1,FR-001,P011,2.951,5701.69
1,FR-001,P017,3.894,3991.58
1,FR-001,P020,2.812,8754.39
2,FR-001,P008,3.671,2661.77
2,FR-001,P022,0.407,3951.28
2,FR-001,P013,4.528,2887.94
3,FR-001,P020,1.369,8754.39
3,FR-001,P007,1.118,8153.66
3,FR-001,P025,0.635,2230.34
4,FR-001,P009,1.333,2340.99
4,FR-001,P001,1.742,3623.94
4,FR-001,P014,2.247,7229.51
5,FR-001,P001,2.474,3623.94
5,FR-001,P005,3.266,3436.6
5,FR-001,P002,3.897,2583.81
5,FR-001,P024,1.187,7540.09
6,FR-001,P006,4.503,3327.57
6,FR-001,P002,1.955,2583.81
6,FR-001,P022,3.332,3951.28
7,FR-001,P025,1.768,2230.34
7,FR-001,P008,1.591,2661.77
7,FR-001,P022,3.857,3951.28
8,FR-001,P015,3.855,5107.98
9,FR-001,P015,4.867,5107.98
9,FR-001,P023,3.042,2068.71
9,FR-001,P017,4.414,3991.58
9,FR-001,P018,3.311,3257.14
10,FR-001,P026,3.871,3671.15
10,FR-001,P004,0.399,2175.21
11,FR-001,P015,3.953,5107.98
12,FR-001,P009,0.353,2340.99
13,FR-001,P016,4.939,2683.15
13,FR-001,P025,3.966,2230.34
13,FR-001,P003,1.651,7536.54
14,FR-001,P012,3.541,6583.14
14,FR-001,P022,4.489,3951.28
14,FR-001,P016,1.578,2683.15
14,FR-001,P018,4.727,3257.14
15,FR-001,P014,2.238,7229.51
15,FR-001,P016,4.767,2683.15
15,FR-001,P003,0.957,7536.54
15,FR-001,P017,2.309,3991.58
16,FR-001,P010,3.555,1954.6
16,FR-001,P016,2.924,2683.15
16,FR-001,P002,2.219,2583.81
17,FR-001,P004,4.075,2175.21
18,FR-001,P017,2.45,3991.58
19,FR-001,P006,2.45,3327.57
19,FR-001,P011,0.473,5701.69
20,FR-001,P022,3.983,3951.28
20,FR-001,P010,0.388,1954.6
20,FR-001,P008,1.41,2661.77
21,FR-001,P013,3.92,2887.94
21,FR-001,P022,2.94,3951.28
21,FR-001,P014,3.164,7229.51
22,FR-001,P020,0.534,8754.39
22,FR-001,P026,1.266,3671.15
22,FR-001,P022,3.935,3951.28
23,FR-001,P026,4.917,3671.15
23,FR-001,P008,4.063,2661.77
23,FR-001,P017,2.351,3991.58
24,FR-001,P009,4.247,2340.99
24,FR-001,P013,1.014,2887.94
25,FR-001,P001,0.75,3623.94
25,FR-001,P010,4.691,1954.6
25,FR-001,P017,1.16,3991.58
25,FR-001,P004,0.693,2175.21
26,FR-001,P025,1.425,2230.34
26,FR-001,P010,4.117,1954.6
26,FR-001,P008,4.631,2661.77
26,FR-001,P005,3.524,3436.6
27,FR-001,P004,0.842,2175.21
27,FR-001,P017,2.453,3991.58
27,FR-001,P026,3.075,3671.15
28,FR-001,P002,1.4,2583.81
28,FR-001,P001,3.855,3623.94
28,FR-001,P008,1.536,2661.77
28,FR-001,P009,3.712,2340.99
29,FR-001,P013,2.478,2887.94
29,FR-001,P026,0.385,3671.15
29,FR-001,P022,4.109,3951.28
30,FR-001,P007,1.747,8153.66
30,FR-001,P013,4.408,2887.94
30,FR-001,P005,3.441,3436.6
31,FR-001,P003,4.153,7536.54
32,FR-001,P004,0.789,2175.21
32,FR-001,P021,4.221,5382.5
32,FR-001,P003,4.53,7536.54
33,FR-001,P001,0.305,3623.94
33,FR-001,P013,0.737,2887.94
34,FR-001,P002,0.407,2583.81
34,FR-001,P026,4.388,3671.15
35,FR-001,P003,1.719,7536.54
35,FR-001,P022,1.029,3951.28
36,FR-001,P026,3.804,3671.15
36,FR-001,P015,1.986,5107.98
36,FR-001,P021,1.201,5382.5
36,FR-001,P008,1.511,2661.77
37,FR-001,P011,2.266,5701.69
37,FR-001,P025,0.838,2230.34
