id_direccion,id_calle,numero_puerta
1,14,4553
2,14,1675
3,10,5882
4,1,7528
5,7,1292
6,59,9460
7,159,3734
8,124,1655
9,69,5978
10,134,3433
11,172,2804
12,76,7574
13,4,5314
14,45,5169
15,122,3457
16,154,912
17,16,5050
18,55,743
19,24,520
20,126,6267
21,161,5698
22,62,373
23,165,3763
24,27,6869
25,179,7315
26,132,8844
27,73,9439
28,150,6776
29,51,9108
30,118,6822
31,166,3949
32,15,6825
33,59,1296
34,13,6180
35,174,7855
36,4,3114
37,60,3922
38,109,4286
39,143,3329
40,36,4273
41,68,9336
42,98,8006
43,107,2294
44,9,1218
45,63,2475
46,189,7917
47,121,275
48,7,2938
49,187,4136
50,132,3701
51,10,6641
52,3,1355
53,35,698
54,142,763
55,50,257
56,21,2662
57,118,6289
58,10,7162
59,185,5348
60,165,7076
61,73,1205
62,42,5189
63,134,4420
64,167,8396
65,26,5316
66,25,3978
67,40,4934
68,80,4912
69,141,7502
70,103,6225
71,181,4923
72,98,8045
73,118,1866
74,53,441
75,93,1134
76,76,6933
77,144,8756
78,168,1393
79,179,9228
80,122,173
81,168,9425
82,173,5652
83,29,5708
84,143,7802
85,21,733
86,29,3997
87,128,3799
88,113,3233
89,58,1026
90,61,1868
91,103,6368
92,131,4874
93,66,1917
94,123,9418
95,53,2734
96,179,5883
97,167,8110
98,140,1355
99,70,4730
100,146,8370
101,159,7232
102,66,529
103,24,1924
104,189,7016
105,14,8721
106,86,9384
107,42,972
108,64,5278
109,80,6147
110,23,8448
111,103,41
112,25,6517
113,87,8968
114,104,794
115,2,2589
116,124,2162
117,75,5906
118,45,6494
119,122,1560
120,70,7292
121,123,7827
122,28,5134
123,38,1121
124,108,2481
125,37,6292
126,75,4066
127,85,8483
128,12,8109
129,25,198
130,126,8952
131,17,1107
132,117,8210
133,167,2502
134,44,5354
135,62,4006
136,13,2878
137,52,5681
138,40,1935
139,75,8129
140,50,2578
141,73,8337
142,111,2459
143,124,5273
144,176,1957
145,15,1130
146,129,6045
147,182,7601
148,64,105
149,6,24
150,57,6879
151,12,8516
152,26,1566
153,26,9304
154,66,4277
155,99,7418
156,37,2547
157,35,5871
158,19,4985
159,96,1495
160,86,2849
161,63,7571
162,64,3247
163,26,4241
164,131,1507
165,11,9403
166,123,5800
167,12,4836
168,80,2249
169,150,8908
170,143,9268
171,103,3589
172,146,5857
173,66,8744
174,118,2847
175,105,5762
176,146,5064
177,182,327
178,56,5583
179,173,1818
180,114,5515
181,128,5199
182,117,4826
183,177,9298
184,182,9266
185,67,5235
186,101,187
187,75,21
188,128,6205
189,174,2665
190,75,1216
191,160,5537
192,51,2574
193,125,4613
194,166,2517
195,186,3272
196,24,1893
197,75,8915
198,107,7304
199,74,2477
200,165,3728
201,128,9384
202,11,1971
203,56,700
204,40,5239
205,164,4526
206,177,1844
207,28,9220
208,125,6276
209,49,6603
210,62,7786
211,86,4594
212,134,4415
213,132,6672
214,149,1076
215,171,2847
216,14,3263
217,27,3964
218,176,5641
219,113,2670
220,58,6710
221,45,3667
222,80,6169
223,156,6507
224,109,4891
225,98,4279
226,62,6621
227,142,4251
228,174,5623
229,143,8312
230,49,1600
231,161,5500
232,88,5429
233,138,1167
234,117,6769
235,100,9330
236,46,7989
237,133,3431
238,19,7106
239,113,619
240,102,3123
241,109,2113
242,17,4886
243,100,2193
244,113,3743
245,149,2018
246,74,786
247,10,6829
248,39,153
249,76,6863
250,28,8155
251,59,6714
252,143,3843
253,178,2444
254,77,7484
255,13,5902
256,9,2268
257,183,1523
258,133,6320
259,46,2172
260,145,2970
261,43,7998
262,94,8599
263,155,1561
264,115,9148
265,154,8124
266,74,8306
267,24,7278
268,134,1945
269,167,3
270,134,5954
271,188,7752
272,62,5593
273,27,2690
274,31,3210
275,59,1766
276,172,7382
277,1,9065
278,173,2104
279,153,6860
280,89,2186
281,151,8976
282,92,5658
283,155,5282
284,177,8748
285,115,870
286,49,4106
287,159,5877
288,162,9196
289,93,770
290,102,882
291,132,6026
292,58,7354
293,148,6181
294,49,93
295,11,5286
296,89,9383
297,150,3013
298,165,1507
299,109,3580
300,2,5669
301,62,5259
302,82,8469
303,92,3155
304,53,8737
305,60,1703
306,122,2520
307,17,2917
308,80,6358
309,35,97
310,106,4749
311,135,6474
312,42,8942
313,105,9069
314,185,8801
315,108,6761
316,183,3184
317,166,9006
318,61,5421
319,91,1144
320,93,2497
321,45,5132
322,79,2201
323,89,9039
324,44,3219
325,157,512
326,163,8905
327,116,4768
328,105,3914
329,47,7922
330,21,6053
331,111,7696
332,95,8543
333,173,6172
334,151,6166
335,145,109
336,157,4601
337,30,6794
338,56,6733
339,47,8400
340,153,9235
341,20,7360
342,181,2980
343,101,1128
344,60,2451
345,179,8707
346,187,20
347,153,3760
348,172,6972
349,91,8909
350,2,8516
351,100,5936
352,80,9252
353,128,2929
354,176,6523
355,46,3514
356,190,853
357,43,7134
358,179,6297
359,11,8100
360,151,3191
361,45,5894
362,118,6475
363,18,9005
364,77,3188
365,122,9153
366,151,8814
367,178,3986
368,8,1905
369,67,6758
370,66,1524
371,143,5793
372,61,3272
373,71,5834
374,138,8872
375,175,8042
376,173,888
377,14,6451
378,154,5172
379,172,5332
380,81,5622
381,110,6564
382,63,4423
383,43,160
384,155,5173
385,15,1622
386,139,7371
387,79,325
388,182,9452
389,87,5327
390,23,4695
391,127,1169
392,93,4383
393,112,6783
394,75,3451
395,159,432
396,37,6388
397,38,8631
398,145,8857
399,161,7481
400,87,7892
401,125,2552
402,41,4699
403,142,150
404,164,3090
405,119,3615
406,190,4455
407,47,4745
408,186,3077
409,3,1676
410,4,1478
411,89,6085
412,36,4367
413,80,207
414,73,550
415,61,6376
416,10,4151
417,55,3867
418,75,6485
419,140,6085
420,184,984
421,29,7993
422,112,3162
423,16,7169
424,173,8907
425,187,2628
426,79,7440
427,184,3913
428,116,8587
429,100,5277
430,38,513
431,177,8027
432,17,3420
433,14,9143
434,74,1154
435,28,3785
436,71,2932
437,112,6998
438,104,2592
439,164,6091
440,174,6146
441,135,4
442,40,108
443,5,9072
444,38,4342
445,26,6551
446,140,8000
447,177,1286
448,127,1975
449,13,8592
450,158,3618
451,137,1476
452,41,1353
453,119,2137
454,174,9195
455,126,9438
456,108,5255
457,186,2390
458,37,1842
459,82,5625
460,97,8815
461,166,2316
462,147,4186
463,183,870
464,106,313
465,158,1632
466,61,9187
467,87,8028
468,109,3870
469,5,3696
470,116,6838
471,184,7360
472,169,3315
473,42,2379
474,29,5204
475,127,4971
476,38,430
477,182,3784
478,140,8231
479,120,7764
480,5,6768
481,186,5324
482,190,6233
483,171,8531
484,12,8499
485,157,808
486,89,2728
487,149,7596
488,53,2217
489,132,7450
490,46,1495
491,115,6205
492,173,2657
493,93,7312
494,54,4147
495,159,8085
496,128,1301
497,77,802
498,36,9472
499,10,6832
500,188,9211
501,21,5290
502,160,4798
503,102,6780
504,35,1437
505,79,2126
506,140,3813
507,130,3397
508,169,3479
509,21,4920
510,100,9322
511,104,7850
512,137,5491
513,91,5170
514,99,1085
515,161,9355
516,93,5153
517,67,7405
518,105,3312
519,149,3117
520,87,2348
521,54,7527
522,180,5461
523,82,9463
524,79,7228
525,27,9169
526,98,2320
527,91,5550
528,10,6285
529,188,7305
530,160,7630
531,130,7465
532,40,5955
533,99,7427
534,145,2799
535,33,1753
536,177,3909
537,114,5583
538,170,3870
539,178,1874
540,131,5047
541,185,5365
542,171,2404
543,188,7327
544,91,4990
545,153,2090
546,9,9176
547,68,6460
548,124,2842
549,111,2528
550,3,7975
551,128,6975
552,135,5822
553,141,8221
554,16,6039
555,151,7618
556,20,7741
557,175,865
558,143,6898
559,190,4982
560,45,4781
561,148,4553
562,2,2861
563,49,3870
564,95,2377
565,116,7212
566,105,4332
567,89,8725
568,76,8691
569,135,5173
570,111,4467
571,80,7555
572,59,2948
573,17,6738
574,73,4642
575,12,1996
576,42,9275
577,130,7430
578,98,2654
579,13,4337
580,185,2924
581,124,1741
582,175,7306
583,15,4366
584,145,7145
585,139,9294
586,10,5986
587,92,3328
588,114,5887
589,36,3164
590,169,5042
591,1,5559
592,61,8792
593,138,7721
594,3,819
595,172,1743
596,20,6984
597,173,5269
598,31,2315
599,132,667
600,45,7979
601,175,6820
602,81,6751
603,52,1443
604,65,1926
605,167,3593
606,43,8152
607,14,4671
608,129,1711
609,146,1902
610,100,3257
611,63,3885
612,24,7937
613,131,6347
614,109,3314
615,76,1821
616,66,2569
617,63,6746
618,133,238
619,67,7115
620,171,6845
621,15,8702
622,136,3941
623,41,4847
624,52,9346
625,115,6069
626,23,5455
627,187,9425
628,14,845
629,110,2872
630,41,3910
631,174,3694
632,74,1039
633,34,8715
634,20,7502
635,83,1792
636,39,8531
637,161,7765
638,85,1032
639,176,5347
640,173,5022
641,11,5786
642,163,2987
643,103,2073
644,14,5634
645,163,1991
646,96,71
647,142,9400
648,95,7848
649,7,3611
650,57,4554
651,25,6463
652,14,6514
653,87,5757
654,135,7250
655,127,2287
656,152,1084
657,80,2866
658,56,6255
659,91,4980
660,40,4918
661,123,8060
662,139,5928
663,139,6115
664,41,7554
665,111,5833
666,150,3003
667,86,5940
668,3,8490
669,30,2533
670,190,8613
671,29,285
672,137,5605
673,64,2333
674,23,1831
675,55,538
676,74,1086
677,57,3028
678,79,5771
679,172,1624
680,84,8801
681,143,3034
682,119,3511
683,34,1808
684,90,666
685,133,7274
686,124,1141
687,139,6495
688,42,6564
689,46,5960
690,30,6959
691,175,6558
692,146,4570
693,141,2206
694,138,2935
695,28,8519
696,146,4288
697,15,1952
698,136,590
699,93,2690
700,139,9321
701,178,7798
702,144,5780
703,41,5716
704,126,5856
705,72,5114
706,32,2782
707,127,4369
708,119,5283
709,59,8139
710,124,8143
711,13,9397
712,172,5519
713,144,3437
714,151,7093
715,81,8972
716,178,3490
717,168,7107
718,39,2466
719,20,6758
720,182,6650
721,89,7953
722,56,4469
723,161,692
724,103,4883
725,115,3868
726,175,8134
727,99,6389
728,58,7201
729,106,5186
730,41,7787
731,9,3927
732,106,8764
733,78,1479
734,52,5197
735,145,6766
736,75,5765
737,1,3011
738,58,5141
739,42,5234
740,176,4617
741,116,340
742,58,2765
743,37,6029
744,136,1942
745,78,8097
746,182,4637
747,36,4755
748,112,1405
749,116,6284
750,35,963
751,189,746
752,118,2167
753,154,5558
754,123,4267
755,142,5908
756,79,7140
757,44,7209
758,16,4264
759,16,5842
760,37,5728
761,151,9229
762,3,6823
763,5,1999
764,32,2520
765,145,4413
766,186,5324
767,87,910
768,76,3934
769,51,6593
770,125,2152
771,135,7806
772,107,7113
773,132,2541
774,89,7166
775,85,8571
776,10,8367
777,175,5824
778,131,2986
779,87,7455
780,96,3459
781,33,8756
782,145,6638
783,111,4959
784,4,440
785,124,1411
786,29,2498
787,174,3299
788,127,8122
789,156,7994
790,102,1041
791,112,7148
792,112,3803
793,103,7676
794,112,2655
795,140,2840
796,128,4976
797,109,5850
798,147,1044
799,162,7969
800,163,2477
801,16,7490
802,159,8312
803,107,4787
804,41,5483
805,4,7761
806,111,5909
807,124,2261
808,157,5928
809,148,1390
810,51,1008
811,36,8517
812,163,5140
813,181,6619
814,134,6628
815,115,8528
816,90,5583
817,168,4239
818,27,6111
819,34,4882
820,174,5740
821,173,6188
822,59,7444
823,18,1019
824,111,9159
825,128,8021
826,145,2120
827,136,535
828,28,6056
829,109,6136
830,42,798
831,138,2005
832,128,9390
833,181,2270
834,95,6712
835,133,1451
836,90,2029
837,168,867
838,2,8714
839,178,1387
840,6,7161
841,100,4214
842,38,4188
843,45,5330
844,32,2335
845,27,3319
846,114,4413
847,138,6677
848,30,9089
849,25,3334
850,70,6943
851,183,2743
852,118,3486
853,168,1146
854,44,4579
855,104,5614
856,99,3451
857,36,7808
858,144,8817
859,130,5784
860,2,7581
861,5,5863
862,65,8091
863,182,117
864,178,2794
865,188,2876
866,70,4495
867,81,33
868,75,8492
869,62,4554
870,59,1341
871,122,4096
872,27,7864
873,77,1767
874,102,3879
875,28,995
876,19,1016
877,18,915
878,114,6736
879,122,5565
880,55,1683
881,173,8338
882,131,3984
883,126,5099
884,184,4769
885,36,3890
886,55,5596
887,190,5426
888,46,7444
889,73,3773
890,100,3364
891,105,9089
892,176,720
893,76,5568
894,75,344
895,97,4999
896,53,7107
897,57,8726
898,62,3099
899,76,8328
900,139,2744
901,146,7607
902,145,7763
903,171,3395
904,116,5014
905,109,9021
906,108,675
907,135,6701
908,52,3831
909,90,8402
910,28,1169
911,98,4960
912,163,140
913,113,7734
914,65,3439
915,136,5582
916,124,7188
917,93,159
918,117,5343
919,41,9310
920,25,6332
921,83,2809
922,186,440
923,117,3374
924,14,8496
925,127,2573
926,23,3383
927,140,9423
928,77,122
929,182,8616
930,21,7477
931,51,4082
932,46,6448
933,49,8811
934,144,9058
935,100,7389
936,2,7568
937,113,176
938,104,7607
939,73,7172
940,45,1647
941,46,184
942,54,8722
943,157,1685
944,15,3306
945,121,239
946,29,2737
947,102,3106
948,30,3503
949,94,6377
950,79,720
951,139,8785
952,184,6367
953,104,7900
954,135,8373
955,62,2033
956,180,982
957,116,622
958,40,5203
959,82,3753
960,72,3645
961,2,8056
962,56,1504
963,128,5104
964,66,4676
965,139,5892
966,156,7102
967,21,8802
968,133,6147
969,141,2536
970,112,6629
971,92,1168
972,48,7149
973,105,6314
974,105,2423
975,188,2645
976,114,8496
977,78,8203
978,18,9382
979,117,106
980,127,4725
981,39,7971
982,56,3293
983,130,2722
984,22,487
985,27,1001
986,30,8558
987,81,7754
988,97,5919
989,95,51
990,36,2014
991,112,7786
992,94,5902
993,144,1334
994,33,4815
995,171,2095
996,166,2754
997,65,2793
